time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_odom, y_odom, x_real, y_real, z_real, x_est, y_est, x_imu, y_imu
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.570796, -183.800003, 80.199997, -183.800003, 80.199997, -183.800003, 80.199997, 1.512195, -183.800003, 80.199997, -183.800003, 80.199997
0.023000, 0.150462, -0.113896, -0.175669, 0.017215, 0.000000, 0.000000, 0.000000, -1.702375, -183.800003, 80.199997, -183.800228, 80.201432, -183.800095, 80.199966, 1.009917, -183.808495, 80.194138, -183.800201, 80.199657
0.056000, -0.018315, -0.080546, 0.192153, 0.088650, 1.000000, 0.000000, 0.000000, -1.462657, -183.800003, 80.199997, -183.799912, 80.198524, -183.800110, 80.199974, 1.012796, -183.808901, 80.193414, -183.800211, 80.199613
0.089000, -0.168843, -0.057844, 0.109419, -0.052979, 1.000000, 0.000000, 0.000000, -1.549215, -183.800003, 80.199997, -183.799950, 80.200272, -183.800125, 80.199974, 1.015249, -183.809410, 80.192614, -183.800303, 80.199581
0.122000, 0.150465, 0.361877, -0.079240, -0.014015, 1.000000, 0.000000, 0.000000, -1.617044, -183.800003, 80.199997, -183.799929, 80.200734, -183.800232, 80.200226, 1.017319, -183.809928, 80.191980, -183.800221, 80.199778
0.155000, 0.026741, -1.431918, 0.178079, 0.098178, 1.000000, 0.000000, 0.000000, -1.451221, -183.800003, 80.199997, -183.799542, 80.197517, -183.799896, 80.198586, 1.019119, -183.810350, 80.190763, -183.800207, 80.198999
0.188000, 0.046662, 0.083576, -0.080476, 0.113275, 1.000000, 0.000000, 0.000000, -1.724979, -183.800003, 80.199997, -183.800116, 80.193823, -183.799561, 80.197128, 1.020620, -183.810732, 80.188812, -183.800181, 80.199044
0.221000, 0.048758, -0.461475, -0.062369, -0.017812, 1.000000, 0.000000, 0.000000, -1.599011, -183.800003, 80.199997, -183.800100, 80.194411, -183.799210, 80.195412, 1.021883, -183.811062, 80.186655, -183.800155, 80.198793
0.254000, -0.077060, -2.346386, 0.002747, 0.202117, 1.000000, 0.000000, 0.000000, -1.519681, -183.800003, 80.199997, -183.799759, 80.187750, -183.797089, 80.191109, 1.023001, -183.811408, 80.182970, -183.800197, 80.197515
0.287000, 0.022314, -3.339152, -0.204266, 0.263856, 1.000000, 0.000000, 0.000000, -1.711054, -183.800003, 80.199997, -183.800976, 80.179128, -183.794235, 80.183632, 1.023995, -183.811783, 80.176188, -183.800185, 80.195697
0.320000, -0.035406, -2.824120, -0.152767, 0.332318, 1.000000, 0.000000, 0.000000, -1.538066, -183.800003, 80.199997, -183.800617, 80.168168, -183.789474, 80.172989, 1.024850, -183.812165, 80.166051, -183.800204, 80.194159
0.353000, 0.124974, -1.608107, -0.192314, 0.468193, 1.000000, 0.000000, 0.000000, -1.425391, -183.800003, 80.199997, -183.798379, 80.152880, -183.782959, 80.160904, 1.025550, -183.812499, 80.153500, -183.800136, 80.193284
0.386000, -0.007548, -4.135128, 0.055768, 0.597961, 1.000000, 0.000000, 0.000000, -1.573837, -183.800003, 80.199997, -183.798439, 80.133148, -183.774002, 80.145020, 1.026192, -183.812769, 80.137822, -183.800140, 80.191032
0.419000, 0.236720, -4.351067, -0.106790, 0.613204, 1.000000, 0.000000, 0.000000, -1.552205, -182.843493, 76.898381, -183.798062, 80.112915, -183.760193, 80.124146, 1.026799, -183.722477, 79.817214, -183.800011, 80.188663
0.452000, 0.214107, -3.194529, -0.014859, 0.757739, 1.000000, 0.000000, 0.000000, -1.669031, -182.843493, 76.898381, -183.800515, 80.088030, -183.742645, 80.099800, 1.027314, -183.720869, 79.787799, -183.799894, 80.186924
0.485000, 0.434072, -3.301002, 0.234256, 0.967487, 1.000000, 0.000000, 0.000000, -1.570599, -182.843493, 76.898381, -183.800508, 80.056103, -183.722229, 80.071892, 1.027753, -183.718907, 79.754848, -183.799658, 80.185126
0.518000, 0.524073, -3.002511, -0.006514, 0.963172, 1.000000, 0.000000, 0.000000, -1.585338, -182.843493, 76.898381, -183.800971, 80.024322, -183.698730, 80.041138, 1.028108, -183.716424, 79.718464, -183.799373, 80.183491
0.551000, 0.798393, -2.275726, 0.013120, 1.083354, 1.000000, 0.000000, 0.000000, -1.468671, -182.843493, 76.898381, -183.797326, 79.988758, -183.672943, 80.008629, 1.028367, -183.713221, 79.679207, -183.798938, 80.182252
0.584000, 0.888990, -2.128918, 0.007470, 1.077015, 1.000000, 0.000000, 0.000000, -1.519538, -182.843493, 76.898381, -183.795505, 79.953263, -183.645187, 79.974701, 1.028545, -183.709099, 79.637551, -183.798454, 80.181093
0.617000, 1.002749, -1.547302, 0.076859, 1.109737, 1.000000, 0.000000, 0.000000, -1.434054, -182.843493, 76.898381, -183.790513, 79.916983, -183.615295, 79.939507, 1.028665, -183.703947, 79.593893, -183.797908, 80.180251
0.650000, 0.936003, -1.326804, 0.081867, 1.211646, 1.000000, 0.000000, 0.000000, -1.624391, -182.843493, 76.898381, -183.792655, 79.877056, -183.583420, 79.903488, 1.028734, -183.697739, 79.548671, -183.797398, 80.179528
0.683000, 0.949818, -0.970935, 0.014858, 1.148220, 1.000000, 0.000000, 0.000000, -1.401688, -182.843493, 76.898381, -183.786278, 79.839706, -183.549759, 79.866959, 1.028762, -183.690505, 79.502197, -183.796881, 80.178999
0.716000, 1.042675, -1.237603, 0.006847, 1.368707, 0.988660, 0.000000, 0.000000, -1.327186, -182.843493, 76.898381, -183.775383, 79.795872, -183.514648, 79.829895, 1.028762, -183.682185, 79.454521, -183.796313, 80.178326
0.749000, 1.164876, -1.232324, 0.005038, 1.334250, 0.964281, 0.000000, 0.000000, -1.475711, -182.843493, 76.898381, -183.771203, 79.752041, -183.478348, 79.791992, 1.028751, -183.672664, 79.405499, -183.795679, 80.177655
0.782000, 1.163483, -1.286453, 0.001408, 1.312244, 0.938879, 0.000000, 0.000000, -1.228822, -182.843493, 76.898381, -183.756681, 79.711244, -183.441116, 79.753204, 1.028731, -183.661875, 79.355107, -183.795046, 80.176954
0.815000, 1.102505, -1.089031, 0.082849, 1.362459, 0.913516, 0.000000, 0.000000, -1.298225, -182.843493, 76.898381, -183.744577, 79.667943, -183.403107, 79.713676, 1.028702, -183.649852, 79.303421, -183.794445, 80.176361
0.848000, 1.154771, -0.803329, 0.005022, 1.558769, 0.888739, 0.000000, 0.000000, -1.301305, -182.843493, 76.898381, -183.730881, 79.618360, -183.364487, 79.673599, 1.028664, -183.636599, 79.250704, -183.793817, 80.175924
0.881000, 0.957396, -0.611437, 0.023978, 1.644687, 0.864751, 0.000000, 0.000000, -1.065713, -182.843493, 76.898381, -183.704619, 79.570863, -183.325363, 79.633148, 1.028619, -183.622197, 79.197218, -183.793295, 80.175591
0.914000, 1.208996, -0.412379, 0.029964, 1.532416, 0.841588, 0.000000, 0.000000, -1.061005, -182.843493, 76.898381, -183.679941, 79.526723, -183.285873, 79.592468, 1.028567, -183.606615, 79.143173, -183.792637, 80.175366
0.947000, 0.865495, -0.168015, -0.085574, 1.459321, 0.819223, 0.000000, 0.000000, -1.178196, -182.843493, 76.898381, -183.661516, 79.482229, -183.246094, 79.551704, 1.028512, -183.589904, 79.088813, -183.792166, 80.175275
0.980000, 0.986459, 0.009246, -0.032223, 1.563058, 0.797597, 0.000000, 0.000000, -1.366784, -182.843493, 76.898381, -183.651066, 79.431718, -183.206055, 79.510956, 1.028454, -183.572184, 79.034366, -183.791629, 80.175280
1.013000, 0.954653, -0.033408, 0.129208, 1.570825, 0.776631, 0.000000, 0.000000, -1.108754, -182.843493, 76.898381, -183.627958, 79.385316, -183.165817, 79.470284, 1.028396, -183.553407, 78.979907, -183.791109, 80.175262
1.046000, 0.941986, -0.041387, -0.046919, 1.592875, 0.756259, 0.000000, 0.000000, -1.155564, -182.843493, 76.898381, -183.606753, 79.337218, -183.125427, 79.429764, 1.028338, -183.533598, 78.925406, -183.790596, 80.175239
1.079000, 0.791734, 0.027092, -0.005618, 1.629463, 0.736415, 0.000000, 0.000000, -1.089628, -182.843493, 76.898381, -183.581867, 79.289552, -183.084900, 79.389427, 1.028283, -183.512845, 78.870898, -183.790165, 80.175254
1.112000, 0.749693, 0.045309, 0.003077, 1.649657, 0.716993, 0.000000, 0.000000, -1.033804, -182.843493, 76.898381, -183.554019, 79.242775, -183.044266, 79.349297, 1.028231, -183.491252, 78.816429, -183.789757, 80.175278
1.145000, 0.683136, 0.138292, 0.227031, 1.648175, 0.697915, 0.000000, 0.000000, -1.233648, -182.843493, 76.898381, -183.536027, 79.191447, -183.003555, 79.309395, 1.028183, -183.468879, 78.762060, -183.789385, 80.175354
1.178000, 0.662455, 0.389794, 0.029217, 1.594129, 0.679126, 0.000000, 0.000000, -0.969549, -182.843493, 76.898381, -183.506269, 79.148067, -182.962769, 79.269707, 1.028139, -183.445773, 78.707978, -183.789024, 80.175566
1.211000, 0.698404, 0.360617, -0.049862, 1.556204, 0.660555, 0.000000, 0.000000, -1.077161, -182.843493, 76.898381, -183.481935, 79.102843, -182.921890, 79.230255, 1.028100, -183.421927, 78.654305, -183.788644, 80.175762
1.244000, 0.756194, 0.275958, 0.056896, 1.666693, 0.642136, 0.000000, 0.000000, -1.058578, -182.843493, 76.898381, -183.454979, 79.054901, -182.880936, 79.191010, 1.028065, -183.397288, 78.600979, -183.788232, 80.175913
1.277000, 0.593412, 0.342546, 0.045965, 1.623099, 0.623810, 0.000000, 0.000000, -1.078218, -182.843493, 76.898381, -183.429649, 79.007706, -182.839935, 79.151962, 1.028034, -183.371915, 78.547990, -183.787909, 80.176099
1.310000, 0.380995, 0.081274, 0.141253, 1.591351, 0.605540, 0.000000, 0.000000, -1.099671, -182.843493, 76.898381, -183.405813, 78.960913, -182.798904, 79.113106, 1.028008, -183.346011, 78.495231, -183.787701, 80.176143
1.343000, 0.654662, 0.160662, 0.071188, 1.581475, 0.587285, 0.000000, 0.000000, -0.946877, -182.843493, 76.898381, -183.375324, 78.918557, -182.757812, 79.074417, 1.027985, -183.319543, 78.442604, -183.787345, 80.176231
1.376000, 0.489159, 0.182185, 0.014350, 1.652460, 0.568972, 0.000000, 0.000000, -0.963166, -182.843493, 76.898381, -183.344191, 78.873786, -182.716675, 79.035873, 1.027967, -183.292452, 78.390164, -183.787078, 80.176330
1.409000, 0.641902, 0.079656, -0.164563, 1.560390, 0.550647, 0.000000, 0.000000, -0.986981, -182.454187, 79.346104, -183.315807, 78.830822, -182.675507, 78.997444, 1.027951, -183.110306, 78.529970, -183.786729, 80.176373
1.442000, 0.439630, 0.213553, -0.036498, 1.567305, 0.532097, 0.000000, 0.000000, -1.103039, -182.454187, 79.346104, -183.292487, 78.784657, -182.634277, 78.959122, 1.027939, -183.079917, 78.480435, -183.786490, 80.176490
1.475000, 0.635604, 0.291586, 0.081044, 1.650218, 0.513353, 0.000000, 0.000000, -1.024345, -182.454187, 79.346104, -183.264188, 78.738130, -182.593018, 78.920868, 1.027929, -183.048944, 78.431176, -183.786143, 80.176648
1.508000, 0.507328, 0.081290, 0.062107, 1.599730, 0.494386, 0.000000, 0.000000, -1.062534, -182.454187, 79.346104, -183.238496, 78.692012, -182.551727, 78.882660, 1.027922, -183.017347, 78.382119, -183.785867, 80.176693
1.541000, 0.632967, 0.322878, 0.102868, 1.510135, 0.475153, 0.000000, 0.000000, -0.989923, -182.454187, 79.346104, -183.211149, 78.650352, -182.510422, 78.844482, 1.027916, -182.985130, 78.333283, -183.785523, 80.176869
1.574000, 0.435888, 0.208164, -0.042511, 1.628502, 0.455632, 0.000000, 0.000000, -1.045788, -182.454187, 79.346104, -183.184214, 78.603849, -182.469116, 78.806305, 1.027912, -182.952331, 78.284735, -183.785285, 80.176982
1.607000, 0.402801, -0.037880, 0.030340, 1.638143, 0.435784, 0.000000, 0.000000, -0.885411, -182.454187, 79.346104, -183.149996, 78.561998, -182.427826, 78.768097, 1.027910, -182.919075, 78.236281, -183.785066, 80.176961
1.640000, 0.395253, 0.095329, 0.046749, 1.621864, 0.415539, 0.000000, 0.000000, -1.001498, -182.454187, 79.346104, -183.121146, 78.516918, -182.386581, 78.729843, 1.027908, -182.885385, 78.187857, -183.784851, 80.177013
1.673000, 0.422806, 0.249154, -0.037557, 1.716813, 0.394849, 0.000000, 0.000000, -0.922088, -182.454187, 79.346104, -183.086917, 78.471772, -182.345383, 78.691521, 1.027907, -182.851249, 78.139621, -183.784620, 80.177149
1.706000, 0.329204, 0.231166, -0.130142, 1.821899, 0.373656, 0.000000, 0.000000, -0.829873, -182.454187, 79.346104, -183.046336, 78.427410, -182.304230, 78.653091, 1.027907, -182.816704, 78.091647, -183.784441, 80.177275
1.739000, 0.214950, 0.038098, 0.244501, 1.705107, 0.351918, 0.000000, 0.000000, -0.916955, -182.454187, 79.346104, -183.012112, 78.382747, -182.263199, 78.614532, 1.027908, -182.781862, 78.043820, -183.784324, 80.177295
1.772000, 0.371591, 0.142755, -0.023757, 1.723288, 0.329604, 0.000000, 0.000000, -0.886981, -182.454187, 79.346104, -182.976185, 78.338664, -182.222260, 78.575806, 1.027908, -182.746701, 77.996090, -183.784122, 80.177373
1.805000, 0.289281, 0.069154, 0.044131, 1.804586, 0.306604, 0.000000, 0.000000, -0.860353, -182.454187, 79.346104, -182.937347, 78.293520, -182.181473, 78.536880, 1.027910, -182.711181, 77.948477, -183.783964, 80.177411
1.838000, 0.225835, 0.277504, 0.268768, 1.863117, 0.282865, 0.000000, 0.000000, -0.993296, -182.454187, 79.346104, -182.903782, 78.242008, -182.140869, 78.497726, 1.027911, -182.675379, 77.901051, -183.783841, 80.177562
1.871000, 0.390403, -0.071553, -0.029607, 1.629928, 0.258329, 0.000000, 0.000000, -1.059482, -182.454187, 79.346104, -182.877462, 78.195100, -182.100464, 78.458298, 1.027912, -182.639243, 77.853739, -183.783629, 80.177523
1.904000, 0.448563, 0.073879, 0.005402, 1.576108, 0.232930, 0.000000, 0.000000, -0.764831, -182.454187, 79.346104, -182.839936, 78.159086, -182.060303, 78.418564, 1.027914, -182.602649, 77.806427, -183.783385, 80.177563
1.937000, 0.352319, 0.093090, -0.039344, 1.680295, 0.206612, 0.000000, 0.000000, -0.767758, -182.454187, 79.346104, -182.800041, 78.120575, -182.020401, 78.378487, 1.027915, -182.565619, 77.759206, -183.783193, 80.177614
1.970000, 0.181956, -0.136267, 0.069401, 1.590860, 0.179308, 0.000000, 0.000000, -0.730295, -182.454187, 79.346104, -182.760931, 78.085554, -181.980881, 78.338005, 1.027916, -182.528299, 77.711962, -183.783094, 80.177540
2.003000, 0.232288, 0.023640, 0.024075, 1.665945, 0.151022, 0.000000, 0.000000, -0.999021, -182.454187, 79.346104, -182.731182, 78.039322, -181.941696, 78.297096, 1.027917, -182.490753, 77.664656, -183.782967, 80.177553
2.036000, 0.197385, -0.143337, 0.115283, 1.853943, 0.121666, 0.000000, 0.000000, -0.970633, -182.454187, 79.346104, -182.696629, 77.988834, -181.902985, 78.255699, 1.027917, -182.452973, 77.617286, -183.782860, 80.177475
2.069000, 0.138199, -0.008784, 0.062811, 1.624575, 0.091282, 0.000000, 0.000000, -0.881183, -182.454187, 79.346104, -182.662520, 77.947473, -181.864746, 78.213783, 1.027917, -182.415010, 77.569832, -183.782784, 80.177470
2.102000, 0.017147, 0.004589, 0.162393, 1.728987, 0.059833, 0.000000, 0.000000, -0.809295, -182.454187, 79.346104, -182.623150, 77.906176, -181.827072, 78.171288, 1.027917, -182.376962, 77.522376, -183.782775, 80.177472
2.135000, 0.162249, -0.165097, -0.167057, 1.714881, 0.027370, 0.000000, 0.000000, -0.700295, -182.454187, 79.346104, -182.579878, 77.869706, -181.790009, 78.128166, 1.027915, -182.338817, 77.474833, -183.782687, 80.177382
2.168000, 0.119295, -0.143813, -0.011715, 1.737955, -0.006080, 0.000000, 0.000000, -1.067622, -182.454187, 79.346104, -182.552222, 77.819462, -181.753693, 78.084366, 1.027914, -182.300519, 77.427122, -183.782622, 80.177304
2.201000, 0.026672, 0.106972, -0.027088, 1.660839, -0.040343, 0.000000, 0.000000, -0.741892, -182.454187, 79.346104, -182.511818, 77.782429, -181.718140, 78.039879, 1.027911, -182.262141, 77.379390, -183.782607, 80.177362
2.234000, -0.097842, -0.027324, -0.008017, 1.702119, -0.075275, 0.000000, 0.000000, -1.043581, -182.454187, 79.346104, -182.483557, 77.733886, -181.683411, 77.994659, 1.027908, -182.223802, 77.331702, -183.782661, 80.177347
2.267000, -0.238044, -0.030381, -0.017575, 1.787998, -0.110620, 0.000000, 0.000000, -0.950908, -182.454187, 79.346104, -182.449279, 77.685860, -181.649551, 77.948761, 1.027901, -182.185646, 77.283982, -183.782790, 80.177331
2.300000, -0.142535, 0.077956, -0.183264, 1.743925, -0.146003, 0.000000, 0.000000, -0.904243, -182.454187, 79.346104, -182.413698, 77.640629, -181.616653, 77.902260, 1.027892, -182.147697, 77.236289, -183.782868, 80.177373
2.333000, -0.342929, 0.247708, -0.021012, 1.686403, -0.181046, 0.000000, 0.000000, -0.954493, -182.454187, 79.346104, -182.381530, 77.595216, -181.584778, 77.855164, 1.027880, -182.110012, 77.188772, -183.783055, 80.177508
2.366000, -0.293952, -0.107983, 0.038140, 1.678872, -0.216661, 0.000000, 0.000000, -0.792631, -182.454187, 79.346104, -182.342639, 77.555758, -181.553925, 77.807373, 1.027870, -182.072674, 77.141332, -183.783215, 80.177449
2.399000, -0.120619, -0.207207, 0.079925, 1.636663, -0.252503, 0.000000, 0.000000, -0.887241, -182.175285, 77.573325, -182.308528, 77.513883, -181.524094, 77.758812, 1.027862, -182.074650, 77.227891, -183.783280, 80.177337
2.432000, -0.278857, -0.169095, -0.025266, 1.747484, -0.288138, 0.000000, 0.000000, -0.989079, -182.175285, 77.573325, -182.276843, 77.465701, -181.495346, 77.709435, 1.027856, -182.038160, 77.181464, -183.783432, 80.177245
2.465000, -0.321532, -0.229642, 0.112587, 1.749650, -0.323098, 0.000000, 0.000000, -1.033888, -182.175285, 77.573325, -182.247311, 77.416087, -181.467636, 77.659210, 1.027852, -182.001997, 77.134820, -183.783607, 80.177119
2.498000, -0.399561, -0.167073, -0.039590, 1.732572, -0.357085, 0.000000, 0.000000, -0.930809, -182.175285, 77.573325, -182.213167, 77.370226, -181.441055, 77.608124, 1.027850, -181.966227, 77.087960, -183.783825, 80.177028
2.531000, -0.282069, -0.344244, 0.118153, 1.746071, -0.389650, 0.000000, 0.000000, -0.968477, -182.175285, 77.573325, -182.180521, 77.322746, -181.415588, 77.556168, 1.027848, -181.930828, 77.040821, -183.783978, 80.176841
2.564000, -0.392184, -0.392334, -0.031359, 1.764810, -0.420541, 0.000000, 0.000000, -0.894937, -182.175285, 77.573325, -182.144089, 77.277310, -181.391220, 77.503349, 1.027848, -181.895796, 76.993281, -183.784192, 80.176627
2.597000, -0.230125, -0.519360, 0.003088, 1.682237, -0.449556, 0.000000, 0.000000, -0.818304, -182.175285, 77.573325, -182.106148, 77.236785, -181.368057, 77.449677, 1.027847, -181.861103, 76.945245, -183.784317, 80.176345
2.630000, -0.381097, -0.567779, -0.013152, 1.732354, -0.476354, 0.000000, 0.000000, -0.772063, -182.175285, 77.573325, -182.065189, 77.196904, -181.346054, 77.395157, 1.027846, -181.826742, 76.896617, -183.784525, 80.176035
