time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_odom, y_odom, x_real, y_real, z_real, x_est, y_est, x_imu, y_imu
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.570796, -183.800003, 80.199997, -183.800003, 80.199997, -183.800003, 80.199997, 1.512195, -183.800003, 80.199997, -183.800003, 80.199997
0.023000, 0.006460, 0.029612, -0.025829, 0.003102, 0.000000, 0.000000, 0.000000, -1.684222, -183.800003, 80.199997, -183.800979, 80.183787, -183.800095, 80.199966, 1.009917, -183.798735, 80.188556, -183.800012, 80.199959
0.056000, -0.108319, -0.060346, 0.097561, -0.035281, 1.000000, 0.000000, 0.000000, -1.592837, -183.800003, 80.199997, -183.800953, 80.184951, -183.800110, 80.199974, 1.012796, -183.798983, 80.188124, -183.800071, 80.199926
0.089000, 0.060372, -0.001399, 0.057974, 0.014418, 1.000000, 0.000000, 0.000000, -1.784662, -183.800003, 80.199997, -183.801054, 80.184486, -183.800125, 80.199974, 1.015249, -183.799250, 80.187652, -183.800038, 80.199925
0.122000, -0.099081, 0.344118, 0.046493, 0.026497, 1.000000, 0.000000, 0.000000, -1.638566, -183.800003, 80.199997, -183.801113, 80.183614, -183.800232, 80.200226, 1.017319, -183.799527, 80.187326, -183.800092, 80.200113
0.155000, -0.077191, -1.412088, -0.056757, 0.065453, 1.000000, 0.000000, 0.000000, -1.637715, -183.800003, 80.199997, -183.801258, 80.181459, -183.799896, 80.198586, 1.019119, -183.799890, 80.186337, -183.800134, 80.199344
0.188000, 0.000597, -0.012791, 0.108329, 0.025667, 1.000000, 0.000000, 0.000000, -1.472486, -183.800003, 80.199997, -183.801175, 80.180616, -183.799561, 80.197128, 1.020620, -183.800268, 80.184617, -183.800133, 80.199337
0.221000, -0.128579, -0.433602, -0.001251, 0.060221, 1.000000, 0.000000, 0.000000, -1.606764, -183.800003, 80.199997, -183.801246, 80.178630, -183.799210, 80.195412, 1.021883, -183.800696, 80.182645, -183.800203, 80.199101
0.254000, 0.025058, -2.501569, 0.078897, 0.093822, 1.000000, 0.000000, 0.000000, -1.689726, -183.800003, 80.199997, -183.801613, 80.175556, -183.797089, 80.191109, 1.023001, -183.801173, 80.179096, -183.800190, 80.197739
0.287000, -0.029904, -3.023251, -0.190195, 0.214733, 1.000000, 0.000000, 0.000000, -1.660967, -183.800003, 80.199997, -183.802252, 80.168498, -183.794235, 80.183632, 1.023995, -183.801664, 80.172501, -183.800206, 80.196093
0.320000, 0.094931, -2.692304, 0.184101, 0.234097, 1.000000, 0.000000, 0.000000, -1.535237, -183.800003, 80.199997, -183.801977, 80.160778, -183.789474, 80.172989, 1.024850, -183.802076, 80.162906, -183.800154, 80.194627
0.353000, 0.121536, -1.600296, -0.040622, 0.358674, 1.000000, 0.000000, 0.000000, -1.660988, -183.800003, 80.199997, -183.803043, 80.148990, -183.782959, 80.160904, 1.025550, -183.802417, 80.150978, -183.800088, 80.193755
0.386000, -0.009671, -4.053305, 0.104636, 0.478954, 1.000000, 0.000000, 0.000000, -1.606803, -183.800003, 80.199997, -183.803612, 80.133195, -183.774002, 80.145020, 1.026192, -183.802716, 80.135920, -183.800094, 80.191548
0.419000, 0.435190, -4.077711, 0.151150, 0.694273, 1.000000, 0.000000, 0.000000, -1.636707, -185.886606, 81.203775, -183.805121, 80.110333, -183.760193, 80.124146, 1.026799, -183.840201, 80.135706, -183.799857, 80.189328
0.452000, 0.466909, -3.268685, 0.195242, 0.752903, 1.000000, 0.000000, 0.000000, -1.627682, -185.886606, 81.203775, -183.806534, 80.085528, -183.742645, 80.099800, 1.027314, -183.838856, 80.111355, -183.799602, 80.187548
0.485000, 0.660719, -3.176302, -0.074540, 0.921981, 1.000000, 0.000000, 0.000000, -1.472053, -185.886606, 81.203775, -183.803534, 80.055251, -183.722229, 80.071892, 1.027753, -183.836771, 80.083299, -183.799243, 80.185819
0.518000, 0.635250, -3.209210, -0.064521, 0.985334, 1.000000, 0.000000, 0.000000, -1.423773, -185.886606, 81.203775, -183.798771, 80.023085, -183.698730, 80.041138, 1.028108, -183.833798, 80.051674, -183.798897, 80.184071
0.551000, 0.864286, -2.098361, -0.169790, 1.018511, 1.000000, 0.000000, 0.000000, -1.570453, -185.886606, 81.203775, -183.798759, 79.989475, -183.672943, 80.008629, 1.028367, -183.830170, 80.017161, -183.798426, 80.182929
0.584000, 0.736129, -2.061251, 0.111829, 1.059560, 1.000000, 0.000000, 0.000000, -1.370431, -185.886606, 81.203775, -183.791800, 79.955209, -183.645187, 79.974701, 1.028545, -183.825466, 79.980483, -183.798025, 80.181806
0.617000, 1.038931, -1.785678, 0.087178, 1.125269, 1.000000, 0.000000, 0.000000, -1.507666, -185.886606, 81.203775, -183.789457, 79.918149, -183.615295, 79.939507, 1.028665, -183.819936, 79.941768, -183.797460, 80.180834
0.650000, 0.961889, -1.162163, 0.005536, 1.254182, 1.000000, 0.000000, 0.000000, -1.415740, -185.886606, 81.203775, -183.783066, 79.877257, -183.583420, 79.903488, 1.028734, -183.813278, 79.901374, -183.796936, 80.180201
0.683000, 0.781506, -0.980229, 0.134962, 1.197086, 1.000000, 0.000000, 0.000000, -1.381394, -185.886606, 81.203775, -183.775628, 79.838460, -183.549759, 79.866959, 1.028762, -183.805631, 79.859938, -183.796510, 80.179668
0.716000, 1.168178, -0.887236, -0.142257, 1.231945, 0.988660, 0.000000, 0.000000, -1.507425, -185.886606, 81.203775, -183.773054, 79.797887, -183.514648, 79.829895, 1.028762, -183.797239, 79.817563, -183.795874, 80.179184
0.749000, 1.162941, -1.144003, -0.149869, 1.383304, 0.964281, 0.000000, 0.000000, -1.320085, -185.886606, 81.203775, -183.761728, 79.753665, -183.478348, 79.791992, 1.028751, -183.787443, 79.774009, -183.795241, 80.178561
0.782000, 1.132790, -1.319573, -0.184791, 1.453402, 0.938879, 0.000000, 0.000000, -1.251918, -185.886606, 81.203775, -183.746692, 79.708121, -183.441116, 79.753204, 1.028731, -183.776123, 79.729044, -183.794624, 80.177843
0.815000, 0.928003, -0.949371, -0.042860, 1.546475, 0.913516, 0.000000, 0.000000, -1.277014, -185.886606, 81.203775, -183.731914, 79.659274, -183.403107, 79.713676, 1.028702, -183.763502, 79.682659, -183.794119, 80.177326
0.848000, 1.105043, -0.747975, 0.009844, 1.531736, 0.888739, 0.000000, 0.000000, -1.376946, -185.886606, 81.203775, -183.722177, 79.609673, -183.364487, 79.673599, 1.028664, -183.749964, 79.635183, -183.793517, 80.176919
0.881000, 1.101376, -0.485545, -0.201094, 1.517507, 0.864751, 0.000000, 0.000000, -1.204755, -185.886606, 81.203775, -183.704253, 79.562913, -183.325363, 79.633148, 1.028619, -183.735003, 79.587083, -183.792917, 80.176654
0.914000, 0.978128, -0.256910, 0.099513, 1.534933, 0.841588, 0.000000, 0.000000, -1.249440, -185.886606, 81.203775, -183.688254, 79.514853, -183.285873, 79.592468, 1.028567, -183.718876, 79.538574, -183.792385, 80.176515
0.947000, 1.040411, -0.262378, -0.095085, 1.542857, 0.819223, 0.000000, 0.000000, -1.199673, -185.886606, 81.203775, -183.669789, 79.467405, -183.246094, 79.551704, 1.028512, -183.701541, 79.489831, -183.791818, 80.176372
0.980000, 0.933445, -0.138048, -0.120441, 1.594722, 0.797597, 0.000000, 0.000000, -1.268259, -185.886606, 81.203775, -183.654110, 79.417170, -183.206055, 79.510956, 1.028454, -183.683251, 79.440770, -183.791310, 80.176296
1.013000, 1.093988, -0.124677, 0.125581, 1.677014, 0.776631, 0.000000, 0.000000, -1.109013, -185.886606, 81.203775, -183.629453, 79.367625, -183.165817, 79.470284, 1.028396, -183.663525, 79.391520, -183.790714, 80.176229
1.046000, 0.691603, 0.126111, 0.019155, 1.576726, 0.756259, 0.000000, 0.000000, -1.114384, -185.886606, 81.203775, -183.606521, 79.320919, -183.125427, 79.429764, 1.028338, -183.642662, 79.342389, -183.790338, 80.176297
1.079000, 0.765416, 0.062879, 0.062081, 1.597111, 0.736415, 0.000000, 0.000000, -1.124588, -185.886606, 81.203775, -183.583776, 79.273374, -183.084900, 79.389427, 1.028283, -183.620908, 79.293422, -183.789921, 80.176332
1.112000, 0.776254, 0.112013, 0.066312, 1.650980, 0.716993, 0.000000, 0.000000, -1.398236, -185.886606, 81.203775, -183.574421, 79.219701, -183.044266, 79.349297, 1.028231, -183.599015, 79.244262, -183.789498, 80.176392
1.145000, 0.710457, 0.258029, -0.015478, 1.639250, 0.697915, 0.000000, 0.000000, -1.170735, -185.886606, 81.203775, -183.553352, 79.169877, -183.003555, 79.309395, 1.028183, -183.576379, 79.195232, -183.789112, 80.176533
1.178000, 0.680508, 0.253211, -0.050551, 1.721139, 0.679126, 0.000000, 0.000000, -1.067027, -185.886606, 81.203775, -183.525934, 79.120136, -182.962769, 79.269707, 1.028139, -183.552743, 79.146402, -183.788741, 80.176671
1.211000, 0.763114, 0.259158, 0.003398, 1.499176, 0.660555, 0.000000, 0.000000, -1.057068, -185.886606, 81.203775, -183.501622, 79.077049, -182.921890, 79.230255, 1.028100, -183.528303, 79.098125, -183.788326, 80.176812
1.244000, 0.503967, 0.389446, -0.121794, 1.574033, 0.642136, 0.000000, 0.000000, -1.113440, -185.886606, 81.203775, -183.478685, 79.030445, -182.880936, 79.191010, 1.028065, -183.503269, 79.050255, -183.788051, 80.177024
