time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_odom, y_odom, x_real, y_real, z_real, x_est, y_est
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -1.570796, -183.800003, 80.199997, -183.800003, 80.199997, -183.800003, 80.199997, 1.512195, -183.800003, 80.199997
0.023000, 0.043675, -0.142746, 0.004698, -0.047145, 0.000000, 0.000000, 0.000000, -1.549665, -183.800003, 80.199997, -183.798891, 80.199624, -183.800095, 80.199966, 1.009917, -183.798891, 80.199624
0.056000, -0.080682, 0.102627, 0.041134, -0.127937, 1.000000, 0.000000, 0.000000, -1.454105, -183.800003, 80.199997, -183.799383, 80.203817, -183.800110, 80.199974, 1.012796, -183.799383, 80.203817
0.089000, 0.177988, -0.136656, -0.097493, -0.037149, 1.000000, 0.000000, 0.000000, -1.400895, -183.800003, 80.199997, -183.799590, 80.205026, -183.800125, 80.199974, 1.015249, -183.799590, 80.205026
0.122000, 0.090362, 0.380140, 0.016916, 0.008975, 1.000000, 0.000000, 0.000000, -1.569575, -183.800003, 80.199997, -183.799590, 80.204729, -183.800232, 80.200226, 1.017319, -183.799590, 80.204729
0.155000, -0.075802, -1.479208, -0.108503, -0.003890, 1.000000, 0.000000, 0.000000, -1.632424, -183.800003, 80.199997, -183.799582, 80.204858, -183.799896, 80.198586, 1.019119, -183.799582, 80.204858
0.188000, -0.026463, 0.156274, -0.141708, 0.090519, 1.000000, 0.000000, 0.000000, -1.510462, -183.800003, 80.199997, -183.799402, 80.201876, -183.799561, 80.197128, 1.020620, -183.799402, 80.201876
0.221000, 0.100204, -0.473865, 0.019083, 0.006509, 1.000000, 0.000000, 0.000000, -1.711998, -183.800003, 80.199997, -183.799432, 80.201663, -183.799210, 80.195412, 1.021883, -183.799432, 80.201663
0.254000, 0.030610, -2.346508, -0.056379, 0.093156, 1.000000, 0.000000, 0.000000, -1.598948, -183.800003, 80.199997, -183.799518, 80.198590, -183.797089, 80.191109, 1.023001, -183.799518, 80.198590
0.287000, 0.037779, -3.159032, 0.048551, 0.176286, 1.000000, 0.000000, 0.000000, -1.718848, -183.800003, 80.199997, -183.800376, 80.192836, -183.794235, 80.183632, 1.023995, -183.800376, 80.192836
